BEER,BREWERY,LOCATION,STYLE,SUBSTYLE,,SIZE,ABV,IBUs,Unique
Top Cutter India Pale Ale,Bale Breaker Brewing Company,"Moxee, WA",American IPA,American IPA,,12,0.068,70,a465
21st Amendment IPA (2006),21st Amendment Brewery,"San Francisco, CA",American IPA,American IPA,,12,0.07,70,a466
Brew Free! or Die IPA (2009),21st Amendment Brewery,"San Francisco, CA",American IPA,American IPA,,12,0.07,70,a467
Brew Free! or Die IPA (2008),21st Amendment Brewery,"San Francisco, CA",American IPA,American IPA,,12,0.07,70,a468
Deep Ellum IPA,Deep Ellum Brewing Company,"Dallas, TX",American IPA,American IPA,,12,0.07,70,a469
Descender IPA,Good Life Brewing Company,"Bend, OR",American IPA,American IPA,,12,0.07,70,a470
Sculpin IPA,Ballast Point Brewing Company,"San Diego, CA",American IPA,American IPA,,12,0.07,70,a471
Monkeynaut IPA,Straight to Ale,"Huntsville, AL",American IPA,American IPA,,12,0.072,70,a472
Humidor Series India Pale Ale,Cigar City Brewing Company,"Tampa, FL",American IPA,American IPA,,12,0.075,70,a473
Jai Alai IPA,Cigar City Brewing Company,"Tampa, FL",American IPA,American IPA,,12,0.075,70,a474
Jai Alai IPA Aged on White Oak,Cigar City Brewing Company,"Tampa, FL",American IPA,American IPA,,12,0.075,70,a475
HGH (Home Grown Hops): Part Duh,Oskar Blues Brewery,"Longmont, CO",Other Ale,American Strong Ale,,12,0.08,70,a476
Twister Creek India Pale Ale,Denali Brewing Company,"Talkeetna, AK",American IPA,American IPA,,12,0.065,71,a477
Tocobaga Red Ale,Cigar City Brewing Company,"Tampa, FL",Red Ale,American Amber / Red Ale,,12,0.072,75,a478
Interurban IPA,Fremont Brewing Company,"Seattle, WA",American IPA,American IPA,,12,0.065,80,a479
Midnight Ryder,Indeed Brewing Company,"Minneapolis, MN",Other Ale,American Black Ale,,12,0.065,80,a480
The Corruption,DC Brau Brewing Company,"Washington, DC",American IPA,American IPA,,12,0.065,80,a481
Hop Ottin' IPA,Anderson Valley Brewing Company,"Boonville, CA",American IPA,American IPA,,12,0.07,80,a482
Hop Notch IPA,Uinta Brewing Company,"Salt Lake City, UT",American IPA,American IPA,,12,0.073,82,a483
Hop Shock IPA (2010),SanTan Brewing Company,"Chandler, AZ",American IPA,American IPA,,12,0.07,85,a484
Hop Shock IPA,SanTan Brewing Company,"Chandler, AZ",American IPA,American IPA,,12,0.07,85,a485
G'KNIGHT (12 oz.),Oskar Blues Brewery,"Longmont, CO",Other Ale,American Double / Imperial IPA,,12,0.087,85,a486
Gordon Ale (2009),Oskar Blues Brewery,"Longmont, CO",Other Ale,American Double / Imperial IPA,,12,0.087,85,a487
Gordon Imperial Red (2010),Oskar Blues Brewery,"Longmont, CO",Other Ale,American Double / Imperial IPA,,12,0.087,85,a488
Gandhi-Bot Double IPA (12 oz.),New England Brewing Company,"Woodbridge, CT",Other Ale,American Double / Imperial IPA,,12,0.088,85,a489
Gordon (2005),Oskar Blues Brewery,"Lyons, CO",Other Ale,American Double / Imperial IPA,,12,0.092,85,a490
Rodeo Clown Double IPA,Karbach Brewing Company,"Houston, TX",Other Ale,American Double / Imperial IPA,,12,0.095,85,a491
3Beans,Sixpoint Craft Ales,"Brooklyn, NY",Stout/Porter,Baltic Porter,,12,0.1,85,a492
Alphadelic IPA,Hop Valley Brewing Company,"Springfield, OR",American IPA,American IPA,,12,0.065,90,a493
Odyssey Imperial IPA,Sly Fox Brewing Company,"Phoenixville, PA",Other Ale,American Double / Imperial IPA,,12,0.084,90,a494
Hop Box Imperial IPA,Joseph James Brewing Company,"Henderson, NV",Other Ale,American Double / Imperial IPA,,12,0.093,90,a495
Caldera IPA,Caldera Brewing Company,"Ashland, OR",American IPA,American IPA,,12,0.061,94,a496
Caldera IPA (2007),Caldera Brewing Company,"Ashland, OR",American IPA,American IPA,,12,0.061,94,a497
Caldera IPA (2009),Caldera Brewing Company,"Ashland, OR",American IPA,American IPA,,12,0.061,94,a498
Hop Crisis,21st Amendment Brewery,"San Francisco, CA",Other Ale,American Double / Imperial IPA,,12,0.097,94,a499
Black IPA,Santa Fe Brewing Company,"Santa Fe, NM",Other Ale,American Black Ale,,12,0.071,95,a500
Ten Fidy Imperial Stout (2008),Oskar Blues Brewery,"Lyons, CO",Stout/Porter,Russian Imperial Stout,,12,0.095,98,a501
Ten Fidy Imperial Stout,Oskar Blues Brewery,"Longmont, CO",Stout/Porter,Russian Imperial Stout,,12,0.105,98,a502
Ten Fidy Imperial Stout (2007),Oskar Blues Brewery,"Lyons, CO",Stout/Porter,Russian Imperial Stout,,12,0.105,98,a503
Dagger Falls IPA,Sockeye Brewing Company,"Boise, ID",American IPA,American IPA,,12,0.063,100,a504
Hop Abomination,Dry Dock Brewing Company,"Aurora, CO",American IPA,American IPA,,12,0.066,100,a505
Bitter Bitch Imperial IPA,Astoria Brewing Company,"Astoria, OR",Other Ale,American Double / Imperial IPA,,12,0.082,100,a506
GUBNA Imperial IPA,Oskar Blues Brewery,"Longmont, CO",Other Ale,American Double / Imperial IPA,,12,0.1,100,a507
PRO-AM (2012),Southern Star Brewing Company,"Conroe, TX",Other Ale,American Double / Imperial IPA,,12,0.1,100,a508
Old Devil's Tooth,Sockeye Brewing Company,"Boise, ID",Other Ale,American Barleywine,,12,0.103,100,a509
Elevation Triple India Pale Ale,Renegade Brewing Company,"Denver, CO",Other Ale,American Double / Imperial IPA,,12,0.11,100,a510
Resin,Sixpoint Craft Ales,"Brooklyn, NY",Other Ale,American Double / Imperial IPA,,12,0.091,103,a511
Snake Handler Double IPA,Good People Brewing Company,"Birmingham, AL",Other Ale,American Double / Imperial IPA,,12,0.093,103,a512
113 IPA,Sly Fox Brewing Company,"Phoenixville, PA",American IPA,American IPA,,12,0.07,113,a513
On the Wings of Armageddon,DC Brau Brewing Company,"Washington, DC",Other Ale,American Double / Imperial IPA,,12,0.092,115,a514
Lower De Boom,21st Amendment Brewery,"San Francisco, CA",Other Ale,American Barleywine,,8.4,0.115,92,a515
